,polarity
2018-06-09,0.8490365230340722
2018-06-10,0.8248432817531102
2018-06-11,1.0
2018-06-12,0.6048967260549478
2018-06-13,0.7543182293100632
2018-06-14,0.3553983250517381
2018-06-15,0.5500411303319255
2018-06-16,0.37658910554090597
2018-06-17,0.5266978878499113
2018-06-18,0.160535892385033
2018-06-19,0.5218850303271504
2018-06-20,0.7284042923203062
2018-06-21,0.6241210594490616
2018-06-22,0.5329579424413845
2018-06-23,0.7389719590077508
2018-06-24,0.7434395465782799
2018-06-25,0.8017814949721338
2018-06-26,0.6809681808715852
2018-06-27,0.5844963133629615
2018-06-28,0.7266252346191271
2018-06-29,0.5065230094929232
2018-06-30,0.5629484019326243
2018-07-01,0.5037858686845385
2018-07-02,0.5213872862128788
2018-07-03,0.5463992641209757
2018-07-04,0.3452451996422284
2018-07-05,0.5846201773002013
2018-07-06,0.7735440669222662
2018-07-07,0.4264199456030444
2018-07-08,0.6797777610579887
2018-07-09,0.7119073090622812
2018-07-10,0.6793142688356697
2018-07-11,0.5708695919422818
2018-07-12,0.6209025171088034
2018-07-13,0.7683873827086174
2018-07-14,0.7531086045672035
2018-07-15,0.5318928044610851
2018-07-16,0.8663963765563198
2018-07-17,0.7150921626770655
2018-07-18,0.6161577468126924
2018-07-19,0.7027433961648987
2018-07-20,0.5620522082606809
2018-07-21,0.631142021779661
2018-07-22,0.9106729402433393
2018-07-23,0.45324049462209903
2018-07-24,0.7656510597285009
2018-07-25,0.8389278742170567
2018-07-26,0.7249775039364943
2018-07-27,0.8275078339716075
2018-07-28,0.7479600518181362
2018-07-29,0.8703811199560196
2018-07-30,0.8580903170650851
2018-07-31,0.8765414498892037
2018-08-01,0.7127656134879812
2018-08-02,0.450896217178378
2018-08-03,0.43500964811390463
2018-08-04,0.32378872842792655
2018-08-05,0.5899781103997441
2018-08-06,0.5478541557470384
2018-08-07,0.5914332603449064
2018-08-08,0.6902666776454629
2018-08-09,0.8707823399537518
2018-08-10,0.6904688090012481
2018-08-11,0.6931168880747861
2018-08-12,0.6616807805224926
2018-08-13,0.6581856903120448
2018-08-14,0.7205686891498269
2018-08-15,0.7740026572849512
2018-08-16,0.7868531347848404
2018-08-17,0.44591505440651724
2018-08-18,0.3755756568850881
2018-08-19,0.5858518301541861
2018-08-20,0.5217547411228953
2018-08-21,0.4573738688779341
2018-08-22,0.6655639937254486
2018-08-23,0.4518685716638801
2018-08-24,0.7834906768175449
2018-08-25,0.5019596922326537
2018-08-26,0.6193676995882917
2018-08-27,0.660553538956306
2018-08-28,0.3173179264574983
2018-08-29,0.42565500266708745
2018-08-30,0.5370576938088039
2018-08-31,0.44506214721312276
2018-09-01,0.21890901207019248
2018-09-02,0.4196823676537984
2018-09-03,0.4228105565692051
2018-09-04,0.5134007811585289
2018-09-05,0.6318949685015662
2018-09-06,0.5946466288592684
2018-09-07,0.9490378819579162
2018-09-08,0.7943193980919367
2018-09-09,0.5414111409863865
2018-09-10,0.8350990816294022
2018-09-11,0.4600181945868316
2018-09-12,0.8301751308924514
2018-09-13,0.7078518132139202
2018-09-14,0.19779730360280964
2018-09-15,0.3418664317088461
2018-09-16,0.48137566617449307
2018-09-17,0.48607932429205514
2018-09-18,0.5777160686961311
2018-09-19,0.6287775061434282
2018-09-20,0.5382063644600252
2018-09-21,0.6771170530839639
2018-09-22,0.7737534442781664
2018-09-23,0.8925663885157753
2018-09-24,0.7490135811275194
2018-09-25,0.5168286368270609
